temperature conversion selectivity
250 0.184 2.49e6
260 0.245 4.59e5
270 0.314 1.19e5
280 0.375 3.54e4
290 0.444 1.15e4
300 0.513 4.28e3
310 0.559 1.69e3
320 0.597 7.15e2
330 0.635 2.79e2
