temperature conversion selectivity
250 0.107 1.43e8
260 0.161 9.51e6
270 0.218 1.68e6
280 0.283 3.87e5
290 0.345 1.09e5
300 0.413 3.58e4
310 0.475 1.21e4
320 0.528 4.15e3
330 0.574 1.60e3
